id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,10,,"Блок ""Хедер лендинга""",1
,,,,,,,,,,,,,,,,,,,,2,,"Блок ""Описание конференции""",1
,,,,,,,,,,,,,,,,,,,,3,,"Блок ""Почему стоит посетить""",1
,,,,,,,,,,,,,,,,,,,,4,,"Блок ""Жюри""",1
,,,,,,,,,,,,,,,,,,,,5,,"Блок ""Расписание""",1
,,,,,,,,,,,,,,,,,,,,6,,"Блок ""Стоимость участия""",1
,,,,,,,,,,,,,,,,,,,,7,,"Блок с каруселью партнеров",1
,,,,,,,,,,,,,,,,,,,,8,,"Блок ""Галерея""",1
,,,,,,,,,,,,,,,,,,,,9,,"Блок ""Место проведение конференции""",1
31,"Отображение  хедера Лендинга конференции",,"Открыт сайт https://limelab.tech/umeet/",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие атрибутов хедера:
\- фоновое изображение;
\- логотип компании;
\- даты проведения;
\- заголовок конференции;
-кнопка ""Купить билеты""
","1. Хедер лендинга содержит: 

* фоновое изображение; 


* логотип компании;


* даты проведения;


* заголовок конференции, 


* кнопка ""Купить билеты""
","1. 
",,,10,,"Блок ""Хедер лендинга""",
32,"Переход на страницу покупки билетов в хедере",,"Открыт сайт https://limelab.tech/umeet/",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Купить билеты"" в хедере лендинга
","1. Открывается отдельная страница покупки билетов
","1. 
",,,10,,"Блок ""Хедер лендинга""",
7,"Отображение блока ""Описание конференции""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Описание конференции""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие атрибутов блока:

* текст с описанием конференции;
* каунтер;
* даты проведения конференции;
* кнопка ""Купить билеты""
","1. Блок ""Описание конференции"" содержит:

* текст с описанием конференции


* каунтер обратного отсчета до начала конференции


* под каунтером находятся даты проведения концеренции


* кнопка ""Купить билеты""
","1. 
",,,2,,"Блок ""Описание конференции""",
11,"Переход на страницу покупки билетов в блоке ""Описание конференции""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Описание конференции""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Купить билеты"" в блоке ""Описание конференции""
","1. Открывается отдельная страница покупки билетов
","1. 
",,,2,,"Блок ""Описание конференции""",
12,"Отображение блока ""Почему стоит посетить""",,"Открыта главная страница лендинга. Блок ""Почему стоит посетить"" [https://limelab.tech/umeet/](https://limelab.tech/umeet/)",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие атрибутов блока:

* заголовок;
* поинты.
* кнопка ""Подробнее""
* кнопка ""Узнать больше""
* кнопка ""Купит билеты""
","1. Блок ""Почему стоит посетить "" содержит:

* заголовок ""Почему стоит посетить"";


* поинты имеют изображение, название, описание и описанием почему стоит посетить конференцию


* кнопка ""Подробнее"" имеется под каждым поинтом


* кнопка ""Унать больше"" располагается под всем блоком


* кнопка ""Купить билеты"" располагается правее кнопки ""Узнать больше
","1. 
",,,3,,"Блок ""Почему стоит посетить""",
15,"Переход на лендинг с описанием важности конференции",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Почему стоит посетить""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Купить билеты"" в блоке ""Почему стоит посетить""
","1. Переход на страницу описания важности конференции
","1. 
",,,3,,"Блок ""Почему стоит посетить""",
17,"Переход на страницу покупки билетов из блока ""Почему стоит посетить""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Почему стоит посетить""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Купить билеты"" в блоке ""Почему стоит посетить""
","1. Открывается отдельная страница покупки билетов
","1. 
",,,3,,"Блок ""Почему стоит посетить""",
18,"Отображение галереи карточек в блоке ""Жюри""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Жюри""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие галереи карточек в блоке ""Жюри""
","1. Карточки располагаются в 4 столбца, не перекрывают друг друга.
","1. 
",,,4,,"Блок ""Жюри""",
19,"Отображение карточки члена жюри блоке ""Жюри""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Жюри""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие галереи карточек в блоке ""Жюри""
2. Обратить внимание на наличие обводки карточки члена ""Жюри""
3. Обратить внимание на наличие изображения члена жюри в карточке
4. Обратить внимание на наличие прямоугольного блока с атрибутами
","1. Карточки располагаются в 4 столбца, не перекрывая друг друга.
2. Каждая карточка имеет синюю обводку
3. В каждой карточке находится изображение члена жюри
4. В нижней части каждой карточки находится прямоугольный блок с именем и фамилией члена жюри, а также указана его должность.
","1. 
2. 
3. 
4. 
",,,4,,"Блок ""Жюри""",
20,"Увеличение размера  карточки члена жюри в блоке ""Жюри""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Жюри""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Навести курсор на карточку члена жюри
","1. Карточка члена жюри увеличилась
","1. 
",,,4,,"Блок ""Жюри""",
21,"Затемнение фона карточки члена жюри в блоке ""Жюри""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Жюри""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Навести курсор на карточку члена жюри
","1. Затемнение фона карточки члена жюри
","1. 
",,,4,,"Блок ""Жюри""",
22,"Отображение расписания в виде табов в блоке ""Расписание""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Расписание""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие табов в блоке ""Расписание""
","1. Доклады расписаны по дням, в количестве 4 штук, представлены в виде карточек.
","1. 
",,,5,,"Блок ""Расписание""",
24,"Отображение карточек в блоке ""Расписание""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Расписание""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие атрибутов карточки в блоке ""Расписание""
","1. На каждой из карточек находится фотография спикера и название компании, в которой работает спикер
","1. 
",,,5,,"Блок ""Расписание""",
33,"Отображение даты и описания доклада в блоке ""Расписание""Открыт сайт https://limelab.tech/umeet/ , блок ""Расписание""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие даты и описание доклада
","1. Справа от фотографии находится блок с датой и описанием доклада.
","1. 
",,,5,,"Блок ""Расписание""",
25,"Отображение цен в виде карточек в блоке ""Стоимость участия""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Стоимость участия""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на наличие карточек цен в блоке ""Стоимость участия""
2. Обратить внимание на отображение атрибутов карточек цен
3. Обратить внимание на отображение карточки Ultimate
4. Обратить внимание на отображение кнопки ""Купить билеты""
","1. Блок ""Стоимость участия"" содержит три цены: Normal, Advanced, Ultimate
2. В каждой из карточек есть описание, цена.
3. Карточка Ultimate располагается в центре
4. Кнопка отображается в центре
","1. 
2. 
3. 
4. 
",,,6,,"Блок ""Стоимость участия""",
27,"Переход на страницу покупки билетов  из блока ""Стоимость участия""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Стоимость участия""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Купить билеты"" в блоке ""Стоимость участия""
","1. Открывается отдельная страница покупки билетов
","1. 
",,,6,,"Блок ""Стоимость участия""",
28,"Отображение карусели с карточками партнеров",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Партнеры""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на отображение логотипов партнеров в карусели
","1. В карусели находятся карточки с логотипами партнеров.
","1. 
",,,7,,"Блок с каруселью партнеров",
29,"Отображение фотографий в блоке ""Галерея""",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Галерея""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на отображение фотографий в блоке ""Галерея""
","1. В блоке содержатся фотографии с изображениями с предыдущих конференций.
","1. 
",,,8,,"Блок ""Галерея""",
30,"Отображение пойнтеров места проведения конференции",,"Открыт сайт https://limelab.tech/umeet/ , блок ""Место проведение конференции""",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Обратить внимание на отображение пойнтеров на карте
","1. На карте присутствует пойнтер с местом проведения конференции.
","1. 
",,,9,,"Блок ""Место проведение конференции""",
